Honeysuckle,Ant
Honeysuckle,Ant
Honeysuckle,Ant
dame's rocket,Ant
dame's rocket,Ant
pincherry,Ant
St. John's Wort,Ant
St. John's Wort,Ant
Marsh Marigold,Ant
Marsh Marigold,Ant
Dandelion,Ant
Dandelion,Ant
Veronica,Ant
Garlic Mustard,Ant
Winter Cress,Ant
Winter Cress,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Honeysuckle,Ant
Honeysuckle,Ant
Honeysuckle,Ant
Honeysuckle,Ant
White Violet,Ant
White Violet,Ant
White Violet,Ant
White Violet,Ant
Garlic Mustard,Ant
White Violet,Ant
Azaelea,Ant
Azaelea,Ant
Blueberry,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Mountain Laurel,Ant
Mountain Laurel,Ant
Mountain Laurel,Ant
Mountain Laurel,Ant
Violet,Ant
Violet,Ant
Violet,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Dandelion,Ant
Garlic Mustard,Ant
Garlic Mustard,Ant
Garlic Mustard,Ant
Leucothoe,Bald Faced Hornet
Buttercup,Bee
White Violet,Bee Mimick
Pin Cherry,beetle
dame's rocket,beetle
dame's rocket,beetle
dame's rocket,beetle
pincherry,beetle
Strawberry,beetle
Garlic Mustard,Black Vine Weevil
rhododendron,Bumblebee
rhododendron,Bumblebee
white rhododendron,Bumblebee
white rhododendron,Bumblebee
white rhododendron,Bumblebee
Azaelea,Bumblebee
Azaelea,Bumblebee
Violet,Bumblebee
Violet,Bumblebee
Honeysuckle,Bumblebee
Aster,Butterfly
dame's rocket,Butterfly
wild geranium,Butterfly
wild geranium,Butterfly
wild geranium,Butterfly
Aster,Eastern Carpender Bee
Aster,Eastern Carpender Bee
white clover,eastern carpenter bee
white tulip,eastern carpenter bee
rhododendron,eastern carpenter bee
rhododendron,eastern carpenter bee
Honeysuckle,european honeybee
white clover,european honeybee
white clover,european honeybee
white clover,european honeybee
dame's rocket,european honeybee
raspberry,european honeybee
Aster,european honeybee
white clover,european honeybee
Aster,Eurpoean Carpender Bee
Marsh Marigold,Fly
Aster,Fly
wild geranium,Fly
white clover,Fly
white clover,Fly
rhododendron,Fly
rhododendron,Fly
St. John's Wort,Fly
St. John's Wort,Fly
St. John's Wort,Fly
white wildflower,Fly
Marsh Marigold,Fly
Marsh Marigold,Fly
Marsh Marigold,Fly
Marsh Marigold,Fly
daffodil,Fly
Dandelion,Fly
Garlic Mustard,Fly
Azaelea,Fly
Buttercup,Fly
Honeysuckle,Fly
Leucothoe,Fly
Leucothoe,Fly
Dandelion,Fly
Dandelion,Fly
Garlic Mustard,Fly
Mountain Laurel,Fly
Violet,Fly
Dandelion,Fly
Dandelion,Fly
Dandelion,Fly
Dandelion,Fly
Unknown White and Yellow,Fly
Aster,Grasshopper
Violet,Honeybee
wild geranium,Honeybee
wild geranium,Honeybee
Aster,Honeybee
Aster,Honeybee
Aster,Honeybee
dame's rocket,Honeybee
Dandelion,Honeybee
Hawkweed,Honeybee
ranunculus,Honeybee
rhododendron,Honeybee
St. John's Wort,Honeybee
tiny purple/blue on joy lane,Honeybee
white wildflower,Honeybee
St. John's Wort,Honeybee
Aster,Honeybee
Aster,Honeybee
Crab Apple,Honeybee
Honeysuckle,Honeybee
Honeysuckle,Honeybee
Leucothoe,Honeybee
Honeysuckle,Honeybee
white wildflower,hoverfly
white wildflower,hoverfly
Hawkweed,hoverfly
ranunculus,hoverfly
Marsh Marigold,Leaf footed bug
Honeysuckle,Leucospidid Wasp
Garlic Mustard,Longhorn Bee
Strawberry,Longhorn Bee
dame's rocket,monarch butterfly
on the ground,monarch butterfly
Garlic Mustard,N/A
Mountain Laurel,N/A
Viburnum,N/A
white wildflower,skipper
Marsh Marigold,Spider
Honeysuckle,Spider
Blueberry,Spider
Honeysuckle,sweat bee
wild geranium,sweat bee
wild geranium,sweat bee
wild geranium,sweat bee
wild geranium,sweat bee
Violet,sweat bee
Honeysuckle,true bug
pincherry,true bug
pincherry,true bug
white wildflower,unknown
Buttercup,Unknown Beetle
Marsh Marigold,Unknown silver bug
Pin Cherry,wasp
Aster,wasp
dame's rocket,wasp
pincherry,wasp
pincherry,wasp
dame's rocket,wasp
Veronica,wasp
Honeysuckle,wasp
Dandelion,wasp
lilac,wasp
white wildflower,Yellow Jacket
Buttercup,Yellow Jacket
